pid,lat,lon,elev,ptype
Ant-WDC05A.Steig.2013__d18O,-79.46,-112.09,1806.0,glacierice.d18o
NAm-MtLemon.Briffa.2002__sampleCount,32.5,-110.8,2700.0,wood.samplecount
NAm-MtLemon.Briffa.2002__segmentLength,32.5,-110.8,2700.0,wood.segmentlength
NAm-MtLemon.Briffa.2002__ringWidth,32.5,-110.8,2700.0,wood.ringwidth
NAm-MtLemon.Briffa.2002__ringWidth__2,32.5,-110.8,2700.0,wood.ring width
NAm-MtLemon.Briffa.2002__residualChronology,32.5,-110.8,2700.0,wood.residualchronology
NAm-MtLemon.Briffa.2002__ARSTAN,32.5,-110.8,2700.0,wood.arstan
NAm-MtLemon.Briffa.2002__correlationCoefficient,32.5,-110.8,2700.0,wood.correlationcoefficient
NAm-MtLemon.Briffa.2002__RBAR,32.5,-110.8,2700.0,wood.rbar
NAm-MtLemon.Briffa.2002__uncertainty1s,32.5,-110.8,2700.0,wood.uncertainty1s
NAm-MtLemon.Briffa.2002__uncertainty1s__2,32.5,-110.8,2700.0,wood.uncertainty1s
NAm-MtLemon.Briffa.2002__EPS,32.5,-110.8,2700.0,wood.eps
NAm-MtLemon.Briffa.2002__core,32.5,-110.8,2700.0,wood.core
NAm-MtLemon.Briffa.2002__sampleCount__2,32.5,-110.8,2700.0,wood.samplecount
NAm-MtLemon.Briffa.2002__segmentLength__2,32.5,-110.8,2700.0,wood.segmentlength
NAm-MtLemon.Briffa.2002__density,32.5,-110.8,2700.0,wood.density
NAm-MtLemon.Briffa.2002__MXD,32.5,-110.8,2700.0,wood.maximum latewood density
NAm-MtLemon.Briffa.2002__residualChronology__2,32.5,-110.8,2700.0,wood.residualchronology
NAm-MtLemon.Briffa.2002__ARSTAN__2,32.5,-110.8,2700.0,wood.arstan
NAm-MtLemon.Briffa.2002__correlationCoefficient__2,32.5,-110.8,2700.0,wood.correlationcoefficient
NAm-MtLemon.Briffa.2002__RBAR__2,32.5,-110.8,2700.0,wood.rbar
NAm-MtLemon.Briffa.2002__uncertainty1s__3,32.5,-110.8,2700.0,wood.uncertainty1s
NAm-MtLemon.Briffa.2002__uncertainty1s__4,32.5,-110.8,2700.0,wood.uncertainty1s
NAm-MtLemon.Briffa.2002__EPS__2,32.5,-110.8,2700.0,wood.eps
NAm-MtLemon.Briffa.2002__core__2,32.5,-110.8,2700.0,wood.core
Arc-Arjeplog.Bjorklund.2014__density,66.3,18.2,800.0,wood.maximum latewood density
Arc-Arjeplog.Bjorklund.2014__reflectance,66.3,18.2,800.0,wood.reflectance
Asi-CHIN019.Li.2010__ringWidth,29.15,99.93,2150.0,wood.ring width
NAm-Landslide.Luckman.2006__sampleCount,60.2,-138.5,800.0,wood.samplecount
NAm-Landslide.Luckman.2006__segmentLength,60.2,-138.5,800.0,wood.segmentlength
NAm-Landslide.Luckman.2006__ringWidth,60.2,-138.5,800.0,wood.ringwidth
NAm-Landslide.Luckman.2006__ringWidth__2,60.2,-138.5,800.0,wood.ring width
NAm-Landslide.Luckman.2006__residualChronology,60.2,-138.5,800.0,wood.residualchronology
NAm-Landslide.Luckman.2006__ARSTAN,60.2,-138.5,800.0,wood.arstan
NAm-Landslide.Luckman.2006__correlationCoefficient,60.2,-138.5,800.0,wood.correlationcoefficient
NAm-Landslide.Luckman.2006__RBAR,60.2,-138.5,800.0,wood.rbar
NAm-Landslide.Luckman.2006__uncertainty1s,60.2,-138.5,800.0,wood.uncertainty1s
NAm-Landslide.Luckman.2006__uncertainty1s__2,60.2,-138.5,800.0,wood.uncertainty1s
NAm-Landslide.Luckman.2006__EPS,60.2,-138.5,800.0,wood.eps
NAm-Landslide.Luckman.2006__core,60.2,-138.5,800.0,wood.core
NAm-SmithersSkiArea.Schweingruber.1996__sampleCount,54.9,-127.3,1200.0,wood.samplecount
NAm-SmithersSkiArea.Schweingruber.1996__segmentLength,54.9,-127.3,1200.0,wood.segmentlength
NAm-SmithersSkiArea.Schweingruber.1996__ringWidth,54.9,-127.3,1200.0,wood.ringwidth
NAm-SmithersSkiArea.Schweingruber.1996__ringWidth__2,54.9,-127.3,1200.0,wood.ring width
NAm-SmithersSkiArea.Schweingruber.1996__residualChronology,54.9,-127.3,1200.0,wood.residualchronology
NAm-SmithersSkiArea.Schweingruber.1996__ARSTAN,54.9,-127.3,1200.0,wood.arstan
NAm-SmithersSkiArea.Schweingruber.1996__correlationCoefficient,54.9,-127.3,1200.0,wood.correlationcoefficient
NAm-SmithersSkiArea.Schweingruber.1996__RBAR,54.9,-127.3,1200.0,wood.rbar
NAm-SmithersSkiArea.Schweingruber.1996__uncertainty1s,54.9,-127.3,1200.0,wood.uncertainty1s
NAm-SmithersSkiArea.Schweingruber.1996__uncertainty1s__2,54.9,-127.3,1200.0,wood.uncertainty1s
NAm-SmithersSkiArea.Schweingruber.1996__EPS,54.9,-127.3,1200.0,wood.eps
NAm-SmithersSkiArea.Schweingruber.1996__core,54.9,-127.3,1200.0,wood.core
NAm-SmithersSkiArea.Schweingruber.1996__sampleCount__2,54.9,-127.3,1200.0,wood.samplecount
NAm-SmithersSkiArea.Schweingruber.1996__segmentLength__2,54.9,-127.3,1200.0,wood.segmentlength
NAm-SmithersSkiArea.Schweingruber.1996__density,54.9,-127.3,1200.0,wood.density
NAm-SmithersSkiArea.Schweingruber.1996__MXD,54.9,-127.3,1200.0,wood.maximum latewood density
NAm-SmithersSkiArea.Schweingruber.1996__residualChronology__2,54.9,-127.3,1200.0,wood.residualchronology
NAm-SmithersSkiArea.Schweingruber.1996__ARSTAN__2,54.9,-127.3,1200.0,wood.arstan
NAm-SmithersSkiArea.Schweingruber.1996__correlationCoefficient__2,54.9,-127.3,1200.0,wood.correlationcoefficient
NAm-SmithersSkiArea.Schweingruber.1996__RBAR__2,54.9,-127.3,1200.0,wood.rbar
NAm-SmithersSkiArea.Schweingruber.1996__uncertainty1s__3,54.9,-127.3,1200.0,wood.uncertainty1s
NAm-SmithersSkiArea.Schweingruber.1996__uncertainty1s__4,54.9,-127.3,1200.0,wood.uncertainty1s
NAm-SmithersSkiArea.Schweingruber.1996__EPS__2,54.9,-127.3,1200.0,wood.eps
NAm-SmithersSkiArea.Schweingruber.1996__core__2,54.9,-127.3,1200.0,wood.core
Asi-GANGCD.PAGES2k.2013__ringWidth,30.98,78.93,100.0,wood.ring width
Ocn-Mayotte.Zinke.2008__d18O,-12.65,45.1,-3.0,coral.d18o
Ocn-Mayotte.Zinke.2008__d13C,-12.65,45.1,-3.0,coral.d13c
Ocn-Mayotte.Zinke.2008__Sr/Ca,-12.65,45.1,-3.0,coral.sr/ca
Ocn-Mayotte.Zinke.2008__d18O__2,-12.65,45.1,-3.0,coral.d18o
Ocn-LosRoques.Hetzinger.2008__d18O,11.77,-66.75,-2.0,coral.d18o
Arc-Agassiz.Vinther.2008__d18O,80.7,-73.1,1700.0,glacierice.d18o
SAm-LagunaChepical.deJong.2013__temperature,-32.2667,-70.5,3050.0,lakesediment.reflectance
SAm-LagunaChepical.deJong.2013__temperature__2,-32.2667,-70.5,3050.0,lakesediment.reflectance
NAm-CoppermineRiver.Jacoby.1989__sampleCount,67.2,-115.9,213.0,wood.samplecount
NAm-CoppermineRiver.Jacoby.1989__segmentLength,67.2,-115.9,213.0,wood.segmentlength
NAm-CoppermineRiver.Jacoby.1989__ringWidth,67.2,-115.9,213.0,wood.ringwidth
NAm-CoppermineRiver.Jacoby.1989__ringWidth__2,67.2,-115.9,213.0,wood.ring width
NAm-CoppermineRiver.Jacoby.1989__residualChronology,67.2,-115.9,213.0,wood.residualchronology
NAm-CoppermineRiver.Jacoby.1989__ARSTAN,67.2,-115.9,213.0,wood.arstan
NAm-CoppermineRiver.Jacoby.1989__correlationCoefficient,67.2,-115.9,213.0,wood.correlationcoefficient
NAm-CoppermineRiver.Jacoby.1989__RBAR,67.2,-115.9,213.0,wood.rbar
NAm-CoppermineRiver.Jacoby.1989__uncertainty1s,67.2,-115.9,213.0,wood.uncertainty1s
NAm-CoppermineRiver.Jacoby.1989__uncertainty1s__2,67.2,-115.9,213.0,wood.uncertainty1s
NAm-CoppermineRiver.Jacoby.1989__EPS,67.2,-115.9,213.0,wood.eps
NAm-CoppermineRiver.Jacoby.1989__core,67.2,-115.9,213.0,wood.core
NAm-KobukNoatak.King.2003__sampleCount,67.1,-159.6,100.0,wood.samplecount
NAm-KobukNoatak.King.2003__segmentLength,67.1,-159.6,100.0,wood.segmentlength
NAm-KobukNoatak.King.2003__ringWidth,67.1,-159.6,100.0,wood.ringwidth
NAm-KobukNoatak.King.2003__ringWidth__2,67.1,-159.6,100.0,wood.ring width
NAm-KobukNoatak.King.2003__residualChronology,67.1,-159.6,100.0,wood.residualchronology
NAm-KobukNoatak.King.2003__ARSTAN,67.1,-159.6,100.0,wood.arstan
NAm-KobukNoatak.King.2003__correlationCoefficient,67.1,-159.6,100.0,wood.correlationcoefficient
NAm-KobukNoatak.King.2003__RBAR,67.1,-159.6,100.0,wood.rbar
NAm-KobukNoatak.King.2003__uncertainty1s,67.1,-159.6,100.0,wood.uncertainty1s
NAm-KobukNoatak.King.2003__uncertainty1s__2,67.1,-159.6,100.0,wood.uncertainty1s
NAm-KobukNoatak.King.2003__EPS,67.1,-159.6,100.0,wood.eps
NAm-KobukNoatak.King.2003__core,67.1,-159.6,100.0,wood.core
Asi-BT005.Cook.2010__ringWidth,27.45,90.15,2150.0,wood.ring width
SAm-CentralAndes9.Mundo.2014__ringWidth,-39.33,-71.25,1100.0,wood.ring width
SAm-CentralAndes9.Mundo.2014__ringWidth__2,-39.33,-71.25,1100.0,wood.ring width
SAm-CentralAndes9.Mundo.2014__ringWidth__3,-39.33,-71.25,1100.0,wood.ring width
SAm-CentralAndes9.Mundo.2014__ringWidth__4,-39.33,-71.25,1100.0,wood.ring width
SAm-CentralAndes9.Mundo.2014__ringWidth__5,-39.33,-71.25,1100.0,wood.ring width
Asi-JAPA016.Yasue.2013__ringWidth,35.73,138.22,1950.0,wood.ring width
Asi-CHIN049.Brauning.2013__ringWidth,31.23,96.48,3500.0,wood.ring width
NAm-MeadowMountain.Wilson.2005__sampleCount,50.2,-117.1,2100.0,wood.samplecount
NAm-MeadowMountain.Wilson.2005__segmentLength,50.2,-117.1,2100.0,wood.segmentlength
NAm-MeadowMountain.Wilson.2005__ringWidth,50.2,-117.1,2100.0,wood.ringwidth
NAm-MeadowMountain.Wilson.2005__ringWidth__2,50.2,-117.1,2100.0,wood.ring width
NAm-MeadowMountain.Wilson.2005__residualChronology,50.2,-117.1,2100.0,wood.residualchronology
NAm-MeadowMountain.Wilson.2005__ARSTAN,50.2,-117.1,2100.0,wood.arstan
NAm-MeadowMountain.Wilson.2005__correlationCoefficient,50.2,-117.1,2100.0,wood.correlationcoefficient
NAm-MeadowMountain.Wilson.2005__RBAR,50.2,-117.1,2100.0,wood.rbar
NAm-MeadowMountain.Wilson.2005__uncertainty1s,50.2,-117.1,2100.0,wood.uncertainty1s
NAm-MeadowMountain.Wilson.2005__uncertainty1s__2,50.2,-117.1,2100.0,wood.uncertainty1s
NAm-MeadowMountain.Wilson.2005__EPS,50.2,-117.1,2100.0,wood.eps
NAm-MeadowMountain.Wilson.2005__core,50.2,-117.1,2100.0,wood.core
NAm-MeadowMountain.Wilson.2005__sampleCount__2,50.2,-117.1,2100.0,wood.samplecount
NAm-MeadowMountain.Wilson.2005__segmentLength__2,50.2,-117.1,2100.0,wood.segmentlength
NAm-MeadowMountain.Wilson.2005__density,50.2,-117.1,2100.0,wood.density
NAm-MeadowMountain.Wilson.2005__MXD,50.2,-117.1,2100.0,wood.maximum latewood density
NAm-MeadowMountain.Wilson.2005__residualChronology__2,50.2,-117.1,2100.0,wood.residualchronology
NAm-MeadowMountain.Wilson.2005__ARSTAN__2,50.2,-117.1,2100.0,wood.arstan
NAm-MeadowMountain.Wilson.2005__correlationCoefficient__2,50.2,-117.1,2100.0,wood.correlationcoefficient
NAm-MeadowMountain.Wilson.2005__RBAR__2,50.2,-117.1,2100.0,wood.rbar
NAm-MeadowMountain.Wilson.2005__uncertainty1s__3,50.2,-117.1,2100.0,wood.uncertainty1s
NAm-MeadowMountain.Wilson.2005__uncertainty1s__4,50.2,-117.1,2100.0,wood.uncertainty1s
NAm-MeadowMountain.Wilson.2005__EPS__2,50.2,-117.1,2100.0,wood.eps
NAm-MeadowMountain.Wilson.2005__core__2,50.2,-117.1,2100.0,wood.core
NAm-wa069.Peterson.1994__sampleCount,48.7,-120.7,1925.0,wood.samplecount
NAm-wa069.Peterson.1994__segmentLength,48.7,-120.7,1925.0,wood.segmentlength
NAm-wa069.Peterson.1994__ringWidth,48.7,-120.7,1925.0,wood.ringwidth
NAm-wa069.Peterson.1994__ringWidth__2,48.7,-120.7,1925.0,wood.ring width
NAm-wa069.Peterson.1994__residualChronology,48.7,-120.7,1925.0,wood.residualchronology
NAm-wa069.Peterson.1994__ARSTAN,48.7,-120.7,1925.0,wood.arstan
NAm-wa069.Peterson.1994__correlationCoefficient,48.7,-120.7,1925.0,wood.correlationcoefficient
NAm-wa069.Peterson.1994__RBAR,48.7,-120.7,1925.0,wood.rbar
NAm-wa069.Peterson.1994__uncertainty1s,48.7,-120.7,1925.0,wood.uncertainty1s
NAm-wa069.Peterson.1994__uncertainty1s__2,48.7,-120.7,1925.0,wood.uncertainty1s
NAm-wa069.Peterson.1994__EPS,48.7,-120.7,1925.0,wood.eps
NAm-wa069.Peterson.1994__core,48.7,-120.7,1925.0,wood.core
NAm-PowderRiverPass.Briffa.1996__sampleCount,44.2,-107.1,2850.0,wood.samplecount
NAm-PowderRiverPass.Briffa.1996__segmentLength,44.2,-107.1,2850.0,wood.segmentlength
NAm-PowderRiverPass.Briffa.1996__ringWidth,44.2,-107.1,2850.0,wood.ringwidth
NAm-PowderRiverPass.Briffa.1996__ringWidth__2,44.2,-107.1,2850.0,wood.ring width
NAm-PowderRiverPass.Briffa.1996__residualChronology,44.2,-107.1,2850.0,wood.residualchronology
NAm-PowderRiverPass.Briffa.1996__ARSTAN,44.2,-107.1,2850.0,wood.arstan
NAm-PowderRiverPass.Briffa.1996__correlationCoefficient,44.2,-107.1,2850.0,wood.correlationcoefficient
NAm-PowderRiverPass.Briffa.1996__RBAR,44.2,-107.1,2850.0,wood.rbar
NAm-PowderRiverPass.Briffa.1996__uncertainty1s,44.2,-107.1,2850.0,wood.uncertainty1s
NAm-PowderRiverPass.Briffa.1996__uncertainty1s__2,44.2,-107.1,2850.0,wood.uncertainty1s
NAm-PowderRiverPass.Briffa.1996__EPS,44.2,-107.1,2850.0,wood.eps
NAm-PowderRiverPass.Briffa.1996__core,44.2,-107.1,2850.0,wood.core
NAm-PowderRiverPass.Briffa.1996__sampleCount__2,44.2,-107.1,2850.0,wood.samplecount
NAm-PowderRiverPass.Briffa.1996__segmentLength__2,44.2,-107.1,2850.0,wood.segmentlength
NAm-PowderRiverPass.Briffa.1996__density,44.2,-107.1,2850.0,wood.density
NAm-PowderRiverPass.Briffa.1996__MXD,44.2,-107.1,2850.0,wood.maximum latewood density
NAm-PowderRiverPass.Briffa.1996__residualChronology__2,44.2,-107.1,2850.0,wood.residualchronology
NAm-PowderRiverPass.Briffa.1996__ARSTAN__2,44.2,-107.1,2850.0,wood.arstan
NAm-PowderRiverPass.Briffa.1996__correlationCoefficient__2,44.2,-107.1,2850.0,wood.correlationcoefficient
NAm-PowderRiverPass.Briffa.1996__RBAR__2,44.2,-107.1,2850.0,wood.rbar
NAm-PowderRiverPass.Briffa.1996__uncertainty1s__3,44.2,-107.1,2850.0,wood.uncertainty1s
NAm-PowderRiverPass.Briffa.1996__uncertainty1s__4,44.2,-107.1,2850.0,wood.uncertainty1s
NAm-PowderRiverPass.Briffa.1996__EPS__2,44.2,-107.1,2850.0,wood.eps
NAm-PowderRiverPass.Briffa.1996__core__2,44.2,-107.1,2850.0,wood.core
Asi-YKCOM.Yasue.2013__ringWidth,30.37,130.53,4060.0,wood.ring width
Arc-MackenzieDelta.Porter.2013__temperature,68.625,-133.87,5.0,wood.temperature
Arc-MackenzieDelta.Porter.2013__ringWidth,68.625,-133.87,5.0,wood.ring width
Arc-MackenzieDelta.Porter.2013__temperature__2,68.625,-133.87,5.0,wood.temperature
Arc-MackenzieDelta.Porter.2013__d18O,68.625,-133.87,5.0,wood.d18o
Ocn-BunakenIsland.Charles.2003__d18O,-1.5,124.833,-3.0,coral.d18o
Ocn-DryTortugasA.Lund.2006__temperature,24.33,-83.26,-547.0,marinesediment.mg/ca
Ocn-DryTortugasA.Lund.2006__temperature__2,24.33,-83.26,-547.0,marinesediment.temperature
Asi-LowerYangtzeRiver.Zhang.1980__temperature,32.1,118.8,2200.0,documents.historical
Asi-NEPA025.Krusic.2013__ringWidth,29.52,82.03,4000.0,wood.ring width
Asi-BARELC.PAGES2k.2013__ringWidth,33.75,107.8,2700.0,wood.ring width
Asi-PAKI029.Cook.2013__ringWidth,35.83,74.33,3200.0,wood.ring width
Asi-NEPA018.Krusic.2013__ringWidth,27.73,86.33,3600.0,wood.ring width
Arc-LakeNataujaervi.Ojala.2005__reflectance,61.81,24.68,103.7,lakesediment.varve thickness
NAm-PearlPeak.Graybill.1994__sampleCount,40.2,-115.5,3170.0,wood.samplecount
NAm-PearlPeak.Graybill.1994__segmentLength,40.2,-115.5,3170.0,wood.segmentlength
NAm-PearlPeak.Graybill.1994__ringWidth,40.2,-115.5,3170.0,wood.ringwidth
NAm-PearlPeak.Graybill.1994__ringWidth__2,40.2,-115.5,3170.0,wood.ring width
NAm-PearlPeak.Graybill.1994__residualChronology,40.2,-115.5,3170.0,wood.residualchronology
NAm-PearlPeak.Graybill.1994__ARSTAN,40.2,-115.5,3170.0,wood.arstan
NAm-PearlPeak.Graybill.1994__correlationCoefficient,40.2,-115.5,3170.0,wood.correlationcoefficient
NAm-PearlPeak.Graybill.1994__RBAR,40.2,-115.5,3170.0,wood.rbar
NAm-PearlPeak.Graybill.1994__uncertainty1s,40.2,-115.5,3170.0,wood.uncertainty1s
NAm-PearlPeak.Graybill.1994__uncertainty1s__2,40.2,-115.5,3170.0,wood.uncertainty1s
NAm-PearlPeak.Graybill.1994__EPS,40.2,-115.5,3170.0,wood.eps
NAm-PearlPeak.Graybill.1994__core,40.2,-115.5,3170.0,wood.core
Ocn-NewIrelandPapua.Alibert.2008__Sr/Ca,-2.5,150.5,-8.0,coral.sr/ca
Asi-UULMND.Schweingruber.2002__ringWidth,50.48,87.65,2150.0,wood.ring width
Ant-PlateauRemote.Mosley-Thompson.2013__d18O,-84.0,43.0,3330.0,glacierice.d18o
Asi-BT001.Cook.2010__ringWidth,27.58,90.65,2150.0,wood.ring width
